  N levels =   24          CBMF=    21.612     SST=    6.45 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.965       2.982391     0.048    0.00       0.801
    950.0    -1.133       2.822535     0.051    0.00       1.393
    900.0    -4.920       2.003367     0.053    0.00       1.424
    850.0    -8.476       1.337978     0.056    0.00       1.506
    800.0   -12.129       0.845969     0.057    0.00       1.603
    750.0   -15.910       0.478014     0.059    0.00       1.578
    700.0   -19.973       0.238429     0.060    0.00       1.478
    650.0   -24.408       0.113034     0.061    0.00       1.333
    600.0   -29.269       0.052264     0.063    0.00       1.135
    550.0   -34.643       0.024681     0.066    0.00       0.682
    500.0   -40.689       0.019141     0.069    0.00       0.513
    450.0   -47.354       0.016164     0.073    0.00       0.441
    400.0   -54.669       0.013830     0.077    0.00       0.328
    350.0   -62.754       0.012978     0.085    0.00       0.324
    300.0   -71.338       0.004449     0.096    0.00       0.036
    250.0   -74.972       0.003050     0.117    0.00       0.018
    200.0   -73.601       0.001000     0.153    0.00       0.001
    150.0   -74.156       0.001000     0.202    0.00       0.002
    100.0   -72.286       0.001000     0.405    0.00      -0.000
     80.0   -68.810       0.001000     0.755    0.00      -0.005
     60.0   -61.057       0.001000     2.042    0.00      -0.016
     40.0   -50.764       0.001000     5.238    0.00      -0.031
     30.0   -42.490       0.001000     8.440    0.00      -0.043
     25.0   -26.065       0.001000    10.124    0.00      -0.067
