  N levels =   24          CBMF=    21.578     SST=    6.47 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.980       2.988342     0.048    0.00       0.889
    950.0    -1.118       2.828631     0.051    0.00       1.427
    900.0    -4.902       2.009980     0.053    0.00       1.445
    850.0    -8.459       1.344184     0.056    0.00       1.514
    800.0   -12.121       0.846521     0.057    0.00       1.607
    750.0   -15.900       0.438227     0.059    0.00       1.589
    700.0   -19.880       0.224920     0.060    0.00       1.490
    650.0   -24.338       0.123234     0.061    0.00       1.348
    600.0   -29.247       0.065259     0.063    0.00       1.145
    550.0   -34.640       0.025375     0.066    0.00       0.737
    500.0   -40.676       0.019593     0.069    0.00       0.584
    450.0   -47.340       0.016609     0.073    0.00       0.528
    400.0   -54.654       0.014232     0.077    0.00       0.422
    350.0   -62.736       0.013048     0.085    0.00       0.391
    300.0   -71.318       0.004446     0.096    0.00       0.106
    250.0   -74.970       0.003051     0.117    0.00       0.040
    200.0   -73.598       0.001000     0.153    0.00       0.017
    150.0   -74.152       0.001000     0.202    0.00       0.004
    100.0   -72.283       0.001000     0.405    0.00      -0.000
     80.0   -68.807       0.001000     0.755    0.00      -0.004
     60.0   -61.055       0.001000     2.042    0.00      -0.013
     40.0   -50.763       0.001000     5.238    0.00      -0.024
     30.0   -42.491       0.001000     8.440    0.00      -0.033
     25.0   -26.079       0.001000    10.124    0.00      -0.054
